name,aliases,place,wikidata,coordinates,region,ru_group,usage
hrakove,hrakove;гракове;граково,village,Q4147622,"[37.97047, 49.86145]",kharkiv oblast,sever group of forces,0
cheremushna,cheremushna;черемушна;черемушная,village,Q4512758,"[35.760375, 49.862755]",kharkiv oblast,sever group of forces,0
hryhorivka,grigorovka;grigoryevka;hryhorivka;hryhorovka;hryhoryvka;григоровка;григорівка,village,Q4149154,"[35.160705, 49.86145]",kharkiv oblast,sever group of forces,0
kozlove,kozlove;козлове;козлово,village,Q4226859,"[39.16729, 49.861111]",luhansk oblast,,0
novoivanivske,novoivanivske;novoivanovskoye;zhovtneve;жовтневе;жовтневое;новоивановское;новоіванівське,village,Q4180907,"[35.38147, 49.861111]",kharkiv oblast,sever group of forces,0
bilousove,bilousove;белоусово;білоусове,village,Q4082891,"[35.2404672, 49.8578752]",kharkiv oblast,sever group of forces,0
khorosheve,khorosheve;хорошев;хорошеве;хорошево;хорошевская слобода,town,Q4500117,"[36.2239739, 49.8534152]",kharkiv oblast,sever group of forces,0
plastunivka,plastunivka;plastunovka;пластуновка;пластунівка,village,Q4364537,"[35.8342232, 49.8568942]",kharkiv oblast,sever group of forces,0
rozdolne,chapaieva;razdolnoye;rozdolne;раздольное;роздольне;чапаева;чапаєва,village,Q4507146,"[36.5158167, 49.8535778]",kharkiv oblast,sever group of forces,0
berestove,berestove;berestovoe;berestovoye;берестове;берестовое,village,Q4084801,"[37.9490327, 49.8551758]",kharkiv oblast,sever group of forces,0
sharivka,sharivka;sharovka;шаровка;шарівка,village,Q4520674,"[38.89435, 49.85424]",luhansk oblast,zapad group of forces,0
stari valky,stari valky;старые валки;старі валки,village,Q4440898,"[35.5583638, 49.8536107]",kharkiv oblast,sever group of forces,0
brovkove,brovkove;бровкове;бровково;бровковое,village,Q4096687,"[35.408926, 49.853901]",kharkiv oblast,sever group of forces,0
mokra rokytna,mokra rokytna;мокра рокитна;мокрая ракитная,village,Q4300036,"[35.91877, 49.85355]",kharkiv oblast,sever group of forces,0
selyshche,selyshche;селище,village,Q4413865,"[37.4825931, 49.8510982]",kharkiv oblast,sever group of forces,0
yablunivka,yablunivka;yablunovka;яблоновка;яблунівка,village,Q4535866,"[35.7223071, 49.8517267]",kharkiv oblast,sever group of forces,0
lytvynove,lytvynove;литвинове;литвиново,hamlet,Q4263690,"[39.203339, 49.85218]",luhansk oblast,,0
shelestove,shelestove;шелестове;шелестово,village,Q4522620,"[35.220791, 49.85218]",kharkiv oblast,sever group of forces,0
oleksapil,oleksapil;алексаполь;олексапіль,village,Q4061576,"[38.75358, 49.85149]",luhansk oblast,zapad group of forces,0
odrynka,odrynka;одринка;одрынка,village,Q4331804,"[35.8620051, 49.8501974]",kharkiv oblast,sever group of forces,0
hrianykivka,hrianykivka;hrianykovka;гряниковка;гряниківка,village,Q4151192,"[37.7138121, 49.8456954]",kharkiv oblast,sever group of forces,0
trudrodytelske,trudrodytelske;трудродительское;трудродительське,hamlet,Q4464444,"[38.62965, 49.849091]",luhansk oblast,zapad group of forces,0
pryvillia,privolia;privolya;privolye;pryvillia;приволье;привілля,village,Q4377920,"[38.51944, 49.848061]",luhansk oblast,zapad group of forces,0
kurochchyne,kurochchyne;курочкине;курочкино,village,Q4248782,"[37.406849, 49.8485127]",kharkiv oblast,sever group of forces,0
zelenyi kolodiaz,zelenyi kolodiaz;зелений колодязь;зеленый колодезь;зелёный колодезь,village,Q4190885,"[36.461559, 49.848061]",kharkiv oblast,sever group of forces,0
maslakove,maslakove;маслакове;маслаково,hamlet,Q4283887,"[38.637539, 49.84737]",luhansk oblast,zapad group of forces,0
lytvynivka,lytvynivka;lytvynovka;литвиновка;литвинівка,village,Q4263670,"[35.6920154, 49.8417653]",kharkiv oblast,sever group of forces,0
zalisne,zalisne;залесное;залісне,village,Q7271313,"[39.12746, 49.846691]",luhansk oblast,,0
kozaryk,kozaryk;козарик,village,Q4226477,"[38.270496, 49.849682]",luhansk oblast,zapad group of forces,0
kuzmivka,kuzmivka;kuzmovka;кузьмовка;кузьмівка,village,Q4245514,"[35.5513036, 49.8458211]",kharkiv oblast,sever group of forces,0
kruhlyk,kruhlyk;круглик,village,Q4241907,"[35.5807999, 49.8475367]",kharkiv oblast,sever group of forces,0
vivcharove,vivcharove;вівчарове;овчарово,village,Q4330896,"[38.61248, 49.84531]",luhansk oblast,zapad group of forces,0
nahalne,nahalne;нагальне;нагально,village,Q4311478,"[35.210152, 49.84531]",kharkiv oblast,sever group of forces,0
dvorichne,dvorichne;дворічне;двуречное,village,Q4156148,"[37.7293381, 49.8552724]",kharkiv oblast,sever group of forces,0
kolomak,kolomak;коломак,town,Q1996113,"[35.31349, 49.8436]",kharkiv oblast,sever group of forces,0
nyzhnii burluk,nyzhnii burluk;нижний бурлук;нижній бурлук,village,Q4319095,"[37.2707686, 49.8462951]",kharkiv oblast,sever group of forces,0
vasylivka,vasilievka;vasilivka;vasilovka;vasylivka;vasylovka;василевка;василівка,village,Q4104246,"[37.5081269, 49.8413515]",kharkiv oblast,sever group of forces,0
volodymyrivka,vladimirovka;volodymirivka;volodymyrivka;volodymyrovka;владимировка;володимирівка,village,Q4113205,"[37.3208215, 49.8401317]",kharkiv oblast,sever group of forces,0
smolivka,smolivka;smolovka;смоловка;смолівка,village,Q4425057,"[37.2829231, 49.830008]",kharkiv oblast,sever group of forces,0
shapran,shapran;шапран,hamlet,Q4520351,"[39.125751, 49.840851]",luhansk oblast,,0
velykyi vyselok,velykyi vyselok;великий виселок;великий выселок,village,Q4106482,"[37.8840239, 49.8358158]",kharkiv oblast,sever group of forces,0
