osm_type,osm_id,place,name,name:uk,wikidata,lat,lon
node,256614099,town,Kontarne,Контарне,Q4231621,48.0894051,38.5106493
node,256614100,village,Sofiino-Lyman,Софіїно-Лиман,Q4430110,48.69381,36.97723
node,256614101,village,Rozdollia,Роздолля,Q4388437,48.69106,37.00401
node,256614102,village,Novostepanivka,Новостепанівка,Q4325612,48.68282,37.0277
node,256614105,village,Novoandriivka,Новоандріївка,Q4323131,48.6775054,37.054677
node,256614109,village,Dmytrokolyne,Дмитроколине,Q4163051,48.6850813,36.97655
node,256614114,village,Bezzabotivka,Беззаботівка,Q4080891,48.68763,37.02633
node,256614119,village,Sofiivka,Софіївка,Q4429935,48.70514,36.86291
node,256614126,village,Petrivka Persha,Петрівка Перша,Q4361092,48.7002591,36.89398
node,256614128,village,Novopoltavka,Новополтавка,Q4325021,48.69321,36.85827
node,256614129,village,,Надія,Q4311910,48.73947,36.9717399
node,256614130,village,Levadne,Левадне,Q4256191,48.6842,36.81656
node,256614131,village,Dmytro-Darivka,Дмитро-Дар’ївка,Q4162918,48.76728,36.96178
node,256614132,village,Varvarivka,Варварівка,Q4103616,48.77449,36.92745
node,256614133,town,Oleksandrivka,Олександрівка,Q4061193,48.7073967,36.9207752
node,256614136,town,Yasynuvata,Ясинувата,Q1020077,48.1270606,37.8590172
node,256614140,hamlet,Kyshchenko,Кищенко,Q4222711,48.0875408,38.4673144
node,256614141,village,Lvivka,Львівка,Q4271016,48.76007,37.30854
node,256614142,village,Shavrove,Шаврове,Q4519249,48.7413193,37.1944052
node,256614143,village,Novoznamenivka,Новознаменівка,Q4324039,48.60351,36.83819
node,256614144,village,Mykhailivka,Михайлівка,Q4297452,48.7442056,37.2711814
node,256614148,hamlet,Buzynivka,Бузинівка,Q4098364,48.6323598,36.76023
node,256614151,village,Marivka,Мар’ївка,Q4283368,48.6156974,36.7830753
node,256614154,hamlet,Fedorivka,Федорівка,Q4494055,48.6510826,37.0826978
node,256614157,village,Myrna Dolyna,Мирна Долина,Q4295694,48.5990903,36.8316362
node,256614161,village,Krynytsi,Криниці,Q4241074,48.65974,37.12306
node,256614165,village,Kuroidivka,Куроїдівка,Q4248702,48.62866,37.0598
node,256614173,village,Shostakivka,Шостаківка,Q4523318,48.67218,36.91578
node,256614177,village,Zoloti Prudy,Золоті Пруди,Q4193656,48.72436,37.03594
node,256614180,village,Iverske,Іверське,Q4197147,48.6384179,36.9531698
node,256614184,village,Novosamarske,Новосамарське,Q4325230,48.689,36.93775
node,256614188,village,Vysokopillia,Високопілля,Q4129473,48.7704729,37.0735965
node,256614192,village,Zaparo-Marivka,Запаро-Мар’ївка,Q4186619,48.8002279,37.047714
node,256614196,village,Spasko-Mykhailivka,Спасько-Михайлівка,Q4430941,48.57365,36.9405
node,256614200,village,Novoiavlenka,Новоявленка,Q4326286,48.63665,37.19696
node,256614204,village,Vesela Hora,Весела Гора,Q4109712,48.61862,37.1228
node,256614210,village,Samarske,Самарське,Q4406441,48.6339211,37.10354
node,256614214,hamlet,Novoserhiivka,Новосергіївка,Q4325406,48.5395773,36.9148978
node,256614217,village,Novopetrivka,Новопетрівка,Q4324898,48.59364,36.8726
node,256614221,village,Kurytsyne,Курицине,Q7247666,48.56264,36.993531
node,256614225,village,Katerynivka,Катеринівка,Q4217303,48.5848097,36.887381
node,256614229,village,Novopavlivka,Новопавлівка,Q4324806,48.58429,37.02736
node,256614240,village,Novoiverske,Новоіверське,Q4324109,48.60111,36.96041
node,256614248,village,Stepanivka,Степанівка,Q4441883,48.6077434,37.0255086
node,256614253,hamlet,Shevchenko,Шевченко,Q4522101,48.6224,36.86291
node,256614257,town,Amvrosiivka,Амвросіївка,Q1996358,47.7952806,38.4798317
node,256614261,village,Yakovlivka,Яковлівка,Q4536984,48.70273,37.24743
node,256614265,village,Starovarvarivka,Староварварівка,Q4440119,48.68179,37.23095
node,256614269,village,Samiilivka,Самійлівка,Q4406753,48.5877141,36.988792
node,256614273,village,Znamenivka,Знаменівка,Q4192777,48.667225,36.729233
node,256614277,village,Pasichne,Пасічне,Q4346448,48.6979971,36.7983707
node,256614284,village,Mykilske,Микільське,Q4320948,48.68763,36.77845
node,256614291,village,Zelenyi Brid,Зелений Брід,Q4190788,48.695692,36.745762
node,256614295,village,Novooleksandrivka,Новоолександрівка,Q4323010,48.7675154,36.8464711
node,256614299,village,Yelyzavetivka,Єлизаветівка,Q4174824,48.7755818,36.8489494
node,256614303,village,Petrivka Druha,Петрівка Друга,Q4361087,48.6787,36.78154
node,256614307,village,Nekremenne,Некременне,Q4316655,48.8213549,37.1343777
node,256614311,village,Novyi Kavkaz,Новий Кавказ,Q4326660,48.7544295,36.8602611
node,256614315,village,Novobakhmetieve,Новобахметьєве,Q4323201,48.74084,36.83578
node,256614319,village,Zelene,Зелене,Q4190682,48.7635,36.78326
node,256614322,village,Karpivka,Карпівка,Q4215872,48.79749,36.74068
node,256614326,village,Holubivka,Голубівка,Q4142477,48.6980761,37.1320262
node,256614329,village,Hromova Balka,Громова Балка,Q4150233,48.7153303,37.0821724
node,256614333,hamlet,Novopryhozhe,Новопригоже,Q4325063,48.7835899,36.76918
node,256614337,village,Ocheretyne,Очеретине,Q4340681,48.7396015,37.1205133
node,256614341,village,Zhytenko,Житенко,Q4180623,47.79825,38.69024
node,256614345,village,Biloiarivka,Білоярівка,Q4082955,47.796523,38.6021993
node,256614349,village,Serhiieve-Krynka,Сергієве-Кринка,Q4416938,47.77302,38.66157
node,256614357,village,Nyzhnokrynske,Нижньокринське,Q4318879,47.78366,38.62518
node,256614360,village,Velyke Mishkove,Велике Мішкове,Q4106689,47.8729202,38.5578484
node,256614364,village,Blahodatne,Благодатне,Q4087834,47.881164,38.4866895
node,256614368,village,,Калинове,Q4236260,47.85198,38.41507
node,256614372,village,Zhukova Balka,Жукова Балка,Q4181440,47.79937,38.40048
node,256614375,village,Novoklynivka,Новоклинівка,Q4324234,47.85816,38.45112
